🚫customer38 #405.5.12 | blocked 2026-09-14
customer52 #405.6.2 | src: pt.configs.txt
customer51 #405.6.2 | src: pt.configs.txt
customer50 #405.6.1 | src: pt.configs.txt
hamed.ayubi #405.5.11 | src: pt.configs.txt
customer49 #405.6.1 | src: pt.configs.txt
🚫customer15 #405.4.8 | blocked 2026-08-23
🚫customer20 #405.4.14 | blocked 2026-08-23
🚫r.khani #405.4.17 | blocked 2026-08-23
🚫customer16 #405.4.8 | blocked 2026-08-23
🚫narimani #405.4.9 | blocked 2026-08-23
🚫customer17 #405.4.8 | blocked 2026-08-23
🚫customer21 #405.4.15 | blocked 2026-08-23
🚫customer18 #405.4.8 | blocked 2026-08-23
🚫s.asgarzade #405.4.20 | blocked 2026-08-23
🚫customer14 #405.4.8 | blocked 2026-08-23
🚫customer19 #405.4.9 | blocked 2026-08-23
meysam.bampuri #405.5.11 | src: pt.configs.txt
jafar #| src: pt.configs.txt
🚫customer9 #405.3.31 | blocked 2026-07-25
🚫customer12 #405.4.6 | blocked 2026-07-25
🚫customer8 #405.3.30 | blocked 2026-07-25
🚫hossein.zarghami #405.4.6 | blocked 2026-07-25
🚫customer11 #405.4.1 | blocked 2026-07-25
vahid.behruz
🚫t.maaleki2 #405.3.10 | blocked 2026-07-11
🚫hadi.nariman ---d #404.6.17 | blocked 2026-07-04
🚫peyman ---d #404.7.13 | blocked 2026-07-04
🚫mansur ---d #404.6.13 | blocked 2026-07-04
🚫customer10 ---d #405.4.1 | blocked 2026-06-22
🚫robab.valizade ---d #404.10.7 | blocked 2026-05-31
🚫s.khezri ---d #404.10.6 | blocked 2026-05-31
🚫matin.bargi ---d #404.10.11 | blocked 2026-05-31
🚫abedi ---d #404.10.9 | blocked 2026-05-31
🚫eshgkhah ---d #404.10.7 | blocked 2026-05-31
🚫seyyedhoseyni1 ---d #404.10.7 | blocked 2026-05-31
🚫meysam.mohammadi ---d #404.10.8 | blocked 2026-05-31
🚫bazdar ---d #404.10.11 | blocked 2026-05-31
🚫yusefzade ---d #404.10.7 | blocked 2026-05-31
🚫soheyl ---d #404.9.22 | blocked 2026-05-31
🚫sabri ---d #404.10.7 | blocked 2026-05-31
🚫eyvari ---d #404.10.10 | blocked 2026-05-31
🚫nagizade ---d #404.10.6 | blocked 2026-05-31
🚫lahuri ---d #404.10.6 | blocked 2026-05-31
🚫customer7 ---d #404.10.9 | blocked 2026-05-31
🚫hoseyni ---d #404.10.10 | blocked 2026-05-31
🚫makhani ---d #404.10.7 | blocked 2026-05-31
🚫shokrzade ---d #404.10.6 | blocked 2026-05-31
🚫dahri ---d #404.11.11 | blocked 2026-05-28
🚫mahdi.rayi ---d #404.11.9 | blocked 2026-05-28
🚫hasan.gorbani ---d #404.10.28 | blocked 2026-05-28
🚫ehsan.khosrotamar ---d #404.11.11 | blocked 2026-05-28
🚫m.masumi ---d #404.11.11 | blocked 2026-05-28
🚫mahdi.kiyarash ---d #404.10.28 | blocked 2026-05-28
🚫habibzade1 ---d #404.11.11 | blocked 2026-05-28
🚫habib.moja ---d #404.11.11 | blocked 2026-05-28
🚫i.izadi ---d #404.11.12 | blocked 2026-05-28
🚫mehdi.fekrat ---d #404.11.15 | blocked 2026-05-28
🚫sakine.purzeynel ---d #404.11.15 | blocked 2026-05-28
🚫karim.abbaszade ---d #404.11.12 | blocked 2026-05-28
🚫yusef.nabati ---d #404.11.16 | blocked 2026-05-28
🚫sakine.purzeynel1 ---d #404.11.15 | blocked 2026-05-28
🚫masumi1 ---d #404.11.16 | blocked 2026-05-28
🚫habibzade ---d #404.11.12 | blocked 2026-05-28
🚫hossein.abbaszade ---d #404.11.14 | blocked 2026-05-28
🚫tohid ---d #404.11.16 | blocked 2026-05-28
🚫kazemi ---d #404.11.16 | blocked 2026-05-28
🚫amir.agazade ---d #404.11.19 | blocked 2026-05-28
🚫heydarzade ---d #404.11.19 | blocked 2026-05-28
🚫alireza.agazade ---d #404.11.11 | blocked 2026-05-28
🚫yusefi ---d #404.11.12 | blocked 2026-05-28
🚫moradi ---d #404.11.16 | blocked 2026-05-28
🚫a.panahi ---d #404.11.11 | blocked 2026-05-28
🚫pakravan ---d #404.11.12 | blocked 2026-05-28
🚫m.hatami ---d #404.11.16 | blocked 2026-05-28
🚫rahim.beytollahi ---d #404.11.13 | blocked 2026-05-28
🚫r.taragikhah ---d #404.11.11 | blocked 2026-05-28
🚫karam.aghbashlu ---d #404.11.13 | blocked 2026-05-28
🚫puya.hajaghayi ---d #404.11.12 | blocked 2026-05-28
🚫simin ---d #404.11.12 | blocked 2026-05-28
🚫esfandiyari ---d #404.11.11 | blocked 2026-05-28
🚫masud.alipur ---d #404.11.12 | blocked 2026-05-28
🚫bakhtiyar.rezayi ---d #404.11.15 | blocked 2026-05-28
🚫alipour ---d #404.11.12 | blocked 2026-05-28
🚫jabbarzade ---d #404.11.16 | blocked 2026-05-28
🚫ebadi ---d #404.11.19 | blocked 2026-05-28
🚫hasani ---d #404.11.13 | blocked 2026-05-28
🚫tohid.aslanzade ---d #404.11.11 | blocked 2026-05-28
🚫abrishami ---d #404.11.11 | blocked 2026-05-28
🚫tahmazzade ---d#404.11.19 | blocked 2026-05-28
🚫dolatkhah ---d #404.10.18 | blocked 2026-05-28
🚫nemati ---d #404.10.14 | blocked 2026-05-28
🚫parvin ---d.bargushluyi #404.10.14 | blocked 2026-05-28
🚫ashrafi ---d #404.10.18 | blocked 2026-05-28
🚫pashayi ---d #404.10.18 | blocked 2026-05-28
🚫rahmanzade ---d #404.10.13 | blocked 2026-05-28
🚫nasrin.alipur ---d #404.10.18 | blocked 2026-05-28
🚫mohammad.panahi ---d #404.10.18 | blocked 2026-05-28
🚫dorosti ---d #404.10.13 | blocked 2026-05-28
🚫allahverdizade ---d #404.10.15 | blocked 2026-05-28
🚫torkan ---d #404.10.13 | blocked 2026-05-28
🚫shahram.karimi ---d #404.10.16 | blocked 2026-05-28
me.2025
family
sohrab #404.6.30
erfan #404.5.21
azmun #404.4.29
🚫mm
